"header-arecord;address*;_new_address;fqdn*;_new_fqdn;comment;create_ptr;creator;ddns_principal;ddns_protected;disabled;ttl;view"
"arecord;172.16.254.10;;dist.blizzard.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;dist.blizzard.com.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;blizzard.vo.llnwd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;blzddist1-a.akamaihd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;blzddist2-a.akamaihd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;blzddist3-a.akamaihd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;level3.blizzard.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;nydus.battle.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;edge.blizzard.top.comcast.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn.blizzard.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.cdn.blizzard.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;origin-a.akamaihd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;lvlt.cdn.ea.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn-patch.swtor.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;l3cdn.riotgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;worldwide.l3cdn.riotgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;riotgamespatcher-a.akamaihd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;riotgamespatcher-a.akamaihd.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.dyn.riotcdn.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;lancache.steamcontent.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.windowsupdate.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.dl.delivery.mp.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;dl.delivery.mp.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.update.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.do.dsp.mp.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.microsoft.com.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;amupdatedl.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;amupdatedl2.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;amupdatedl3.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;amupdatedl4.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;amupdatedl5.microsoft.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn1.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn.unrealengine.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn1.unrealengine.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn2.unrealengine.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;cdn3.unrealengine.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;download.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;download2.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;download3.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;download4.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;epicgames-download1.akamaized.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;fastly-download.epicgames.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;ccs.cdn.wup.shop.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;ccs.cdn.wup.shop.nintendo.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;geisha-wup.cdn.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;geisha-wup.cdn.nintendo.net.edgekey.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;idbe-wup.cdn.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;idbe-wup.cdn.nintendo.net.edgekey.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;ecs-lp1.hac.shop.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;receive-lp1.dg.srv.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.wup.shop.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.wup.eshop.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.hac.lp1.d4c.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.hac.lp1.eshop.nintendo.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs2.ww.prod.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2.ww.prod.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2.sonycoment.loris-e.llnwd.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs2-ww-prod.psn.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2-ww-prod.psn.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs2.ww.prod.dl.playstation.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.gs2.ww.prod.dl.playstation.net.edgesuite.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;playstation4.sony.akadns.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;theia.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;tmdb.np.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;gs-sec.ww.np.dl.playstation.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;*.cdn.ubi.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets2.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xbox-mbr.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;assets1.xboxlive.com.nsatc.net;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xvcf1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;xvcf2.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
"arecord;172.16.254.10;;d1.xboxlive.com;;;FALSE;STATIC;;FALSE;FALSE;;default"
